,GDPC96,JAPAN_IP,PCECTPI,GS10,GS1,TB3MS,UNRATE,EXUSUK,CPIAUCSL
1957:01,2851.778,8.4143629562,16.449,3.4033333333,3.39,3.0966666667,3.9333333333,,27.7766666667
1957:02,2845.453,9.0973469624,16.553,3.6266666667,3.54,3.14,4.1,,28.0133333333
1957:03,2873.169,9.0427082419,16.687,3.9266666667,3.9633333333,3.3533333333,4.2333333333,,28.2633333333
1957:04,2843.718,8.7968339997,16.773,3.6333333333,3.5866666667,3.31,4.9333333333,,28.4
1958:01,2770,8.6329178382,16.978,3.04,2.16,1.7566666667,6.3,,28.7366666667
1958:02,2788.278,8.4143629562,17.009,2.9233333333,1.35,0.9566666667,7.3666666667,,28.93
1958:03,2852.741,8.6602371985,17.022,3.5,2.3866666667,1.68,7.3333333333,,28.9133333333
1958:04,2919.47,8.9607501612,17.018,3.8,3.1933333333,2.69,6.3666666667,,28.9433333333
1959:01,2973.782,9.4251792854,17.137,3.99,3.5033333333,2.7733333333,5.8333333333,2.8095066667,28.9933333333
1959:02,3046.096,10.0808439313,17.204,4.2566666667,3.9166666667,3,5.1,2.8145366667,29.0433333333
1959:03,3040.235,10.6818698568,17.307,4.5033333333,4.6033333333,3.54,5.2666666667,2.8082833333,29.1933333333
1959:04,3052.194,11.4194925835,17.401,4.5833333333,4.9166666667,4.23,5.6,2.8024633333,29.37
1960:01,3120.195,12.1844346704,17.424,4.4866666667,4.57,3.8733333333,5.1333333333,2.80297,29.3966666667
1960:02,3108.361,12.6761831549,17.515,4.26,3.87,2.9933333333,5.2333333333,2.8060633333,29.5733333333
1960:03,3116.104,13.2225703598,17.582,3.8333333333,3.0733333333,2.36,5.5333333333,2.8104566667,29.59
1960:04,3078.384,13.8509156455,17.661,3.8866666667,2.9933333333,2.3066666667,6.2666666667,2.8108233333,29.78
1961:01,3099.314,14.6158577324,17.694,3.7866666667,2.8733333333,2.35,6.8,2.8012666667,29.84
1961:02,3156.922,15.1895642976,17.692,3.79,2.9366666667,2.3033333333,7,2.7939666667,29.83
1961:03,3209.561,15.8725483038,17.757,3.98,3.0133333333,2.3033333333,6.7666666667,2.8008333333,29.9466666667
1961:04,3274.61,16.4189355088,17.777,3.9733333333,3.1,2.46,6.2,2.8133,29.99
1962:01,3333.591,16.9653227137,17.855,4.0166666667,3.2066666667,2.7233333333,5.6333333333,2.8136333333,30.1066666667
1962:02,3369.51,16.9653227137,17.918,3.8733333333,3.0166666667,2.7166666667,5.5333333333,2.8114666667,30.22
1962:03,3401.609,16.6921291112,17.964,3.99,3.1833333333,2.84,5.5666666667,2.8037666667,30.3066666667
1962:04,3414.802,16.5828516703,18.018,3.9033333333,2.9966666667,2.8133333333,5.5333333333,2.8021666667,30.38
1963:01,3452.806,17.2385163162,18.069,3.8933333333,3.0266666667,2.9066666667,5.7666666667,2.8029333333,30.4766666667
1963:02,3497.818,18.2220132851,18.095,3.9633333333,3.1433333333,2.94,5.7333333333,2.8001666667,30.5333333333
1963:03,3566.096,19.1781908938,18.181,4.0333333333,3.5266666667,3.2933333333,5.5,2.7993666667,30.72
1963:04,3591.546,20.1616878627,18.248,4.12,3.73,3.4966666667,5.5666666667,2.7973666667,30.8033333333
1964:01,3669.226,20.8173525086,18.336,4.18,3.8266666667,3.53,5.4666666667,2.7977666667,30.93
1964:02,3712.856,21.4456977943,18.378,4.2,3.86,3.4766666667,5.2,2.7975333333,30.98
1964:03,3763.277,22.0194043595,18.44,4.1933333333,3.7666666667,3.4966666667,5,2.7865666667,31.05
1964:04,3776.627,22.401875403,18.502,4.1733333333,3.93,3.6833333333,4.9666666667,2.7863,31.1933333333
1965:01,3869.782,22.401875403,18.562,4.2033333333,4.01,3.89,4.9,2.7929333333,31.29
1965:02,3922.689,22.2106398812,18.655,4.2066666667,4.02,3.8733333333,4.6666666667,2.7952,31.49
1965:03,4002.358,22.4565141235,18.724,4.2466666667,4.0833333333,3.8666666667,4.3666666667,2.7928333333,31.5833333333
1965:04,4096.741,22.8116658067,18.781,4.4733333333,4.4633333333,4.1666666667,4.1,2.8029666667,31.75
1966:01,4197.921,23.5492885334,18.927,4.77,4.93,4.61,3.8666666667,2.8005333333,32.0466666667
1966:02,4215.116,24.8059791048,19.083,4.78,4.9333333333,4.5866666667,3.8333333333,2.7918333333,32.3366666667
1966:03,4245.17,25.9807115954,19.229,5.14,5.51,5.0433333333,3.7666666667,2.7889666667,32.6166666667
1966:04,4281.583,27.4559570488,19.379,5.0033333333,5.44,5.21,3.7,2.7909333333,32.8833333333
1967:01,4320.947,28.2755378562,19.435,4.5833333333,4.6033333333,4.5133333333,3.8333333333,2.7938,32.9666666667
1967:02,4324.696,29.5322284276,19.528,4.82,4.2466666667,3.66,3.8333333333,2.7957666667,33.1666666667
1967:03,4362.001,31.0347932412,19.708,5.2466666667,5.1266666667,4.3,3.8,2.7854333333,33.5
1967:04,4397.108,32.6739548561,19.877,5.6433333333,5.5633333333,4.7533333333,3.9,2.6171,33.8666666667
1968:01,4486.382,33.4115775827,20.087,5.61,5.4733333333,5.05,3.7333333333,2.406,34.2
1968:02,4562.157,34.4497132721,20.291,5.7433333333,5.9433333333,5.52,3.5666666667,2.3918666667,34.5333333333
1968:03,4594.968,35.3785715206,20.501,5.46,5.51,5.1966666667,3.5333333333,2.3895,35
1968:04,4615.388,37.0723718559,20.729,5.77,5.8366666667,5.5866666667,3.4,2.3865666667,35.4333333333
1969:01,4687.098,38.1924656261,20.933,6.1766666667,6.3633333333,6.0933333333,3.4,2.3900333333,35.8666666667
1969:02,4702.124,39.9955434024,21.201,6.3533333333,6.5733333333,6.1966666667,3.4333333333,2.3897,36.4333333333
1969:03,4731.549,41.170275893,21.461,6.8566666667,7.6533333333,7.0233333333,3.5666666667,2.3865666667,36.9333333333
1969:04,4710.954,43.3011859923,21.71,7.2966666667,7.9,7.3533333333,3.5666666667,2.3946,37.5
1970:01,4702.809,44.8583895265,21.961,7.3666666667,7.5533333333,7.21,4.1666666667,2.4036333333,38.1
1970:02,4711.143,46.2516768991,22.205,7.7133333333,7.4533333333,6.6766666667,4.7666666667,2.4025,38.6333333333
1970:03,4752.805,46.8253834643,22.421,7.46,6.9366666667,6.3266666667,5.1666666667,2.3878666667,39.0333333333
1970:04,4703.912,47.0439383463,22.712,6.8533333333,5.6466666667,5.3533333333,5.8333333333,2.3894333333,39.6
1971:01,4829.88,47.45372875,22.927,6.0166666667,4.05,3.84,5.9333333333,2.4141,39.9333333333
1971:02,4857.374,46.9619802655,23.188,6.2466666667,4.9933333333,4.25,5.9,2.4184666667,40.3
1971:03,4895.258,47.6996029922,23.416,6.4833333333,5.75,5.01,6.0333333333,2.4408333333,40.7
1971:04,4909.529,47.8088804332,23.562,5.89,4.7266666667,4.23,5.9333333333,2.5031666667,41
1972:01,4997.015,48.7650580418,23.811,6.0333333333,4.4066666667,3.4366666667,5.7666666667,2.5974333333,41.3333333333
1972:02,5112.722,49.8305130915,23.949,6.1433333333,4.8433333333,3.77,5.7,2.5972333333,41.6
1972:03,5159.837,51.2238004641,24.16,6.29,5.1533333333,4.22,5.5666666667,2.4453,41.9333333333
1972:04,5245.523,53.7098622467,24.358,6.3733333333,5.4366666667,4.8633333333,5.3666666667,2.3637333333,42.3666666667
1973:01,5374.665,56.9335467559,24.652,6.6033333333,6.31,5.7,4.9333333333,2.4186333333,43.0333333333
1973:02,5435.604,58.1082792465,25.126,6.8066666667,7.0166666667,6.6033333333,4.9333333333,2.5301666667,43.9333333333
1973:03,5406.065,58.9005406937,25.583,7.2066666667,8.5066666667,8.3233333333,4.8,2.4771666667,44.8
1973:04,5456.489,60.1299119048,26.108,6.7533333333,7.4133333333,7.5,4.7666666667,2.3778666667,45.9333333333
1974:01,5411.162,60.0752731843,26.883,7.0533333333,7.3533333333,7.6166666667,5.1333333333,2.2798333333,47.3
1974:02,5425.382,57.4526146006,27.645,7.5433333333,8.69,8.1533333333,5.2,2.3975,48.5666666667
